product_id,product_name,category,starting_stock,unit_cost,unit_price,total_quantity_sold,total_revenue,total_expense,total_gross_profit,remaining_stock,stock_status
P001,Coke 1L,Beverage,24,60,75,5,375,300,75,19,OK
P002,Royal 1L,Beverage,18,58,72,3,216,174,42,15,OK
P003,Bottled Water 500ml,Beverage,30,10,15,12,180,120,60,18,OK
P004,Piattos Snack,Snack,36,14,18,9,162,126,36,27,OK
P005,Nova Snack,Snack,32,13,18,5,90,65,25,27,OK
P006,Lucky Me Beef Noodles,Food,40,10,14,9,126,90,36,31,OK
P007,Pancit Canton Chilimansi,Food,40,12,16,9,144,108,36,31,OK
P008,Canned Sardines,Food,25,22,28,3,84,66,18,22,OK
P009,Corned Beef Small,Food,20,32,42,3,126,96,30,17,OK
P010,Egg,Food,60,7,10,24,240,168,72,36,OK
P011,Rice 1kg,Food,30,42,50,3,150,126,24,27,OK
P012,Coffee Sachet,Beverage,80,5,8,23,184,115,69,57,OK
P013,Shampoo Sachet,Personal Care,70,4,7,12,84,48,36,58,OK
P014,Laundry Detergent Sachet,Household,75,5,8,12,96,60,36,63,OK
P015,Dishwashing Liquid Sachet,Household,50,6,10,5,50,30,20,45,OK
