transaction_id,transaction_date,product_id,quantity_sold
T001,2026-01-01,P001,2
T002,2026-01-01,P004,3
T003,2026-01-01,P012,5
T004,2026-01-01,P010,6
T005,2026-01-01,P006,2
T006,2026-01-01,P003,4
T007,2026-01-01,P014,3
T008,2026-01-01,P013,4
T009,2026-01-01,P007,2
T010,2026-01-01,P008,1
T011,2026-01-01,P011,2
T012,2026-01-01,P002,1
T013,2026-01-01,P005,2
T014,2026-01-01,P010,8
T015,2026-01-01,P012,6
T016,2026-01-01,P015,2
T017,2026-01-01,P009,1
T018,2026-01-01,P006,3
T019,2026-01-01,P004,4
T020,2026-01-01,P001,1
T021,2026-01-01,P013,3
T022,2026-01-01,P014,5
T023,2026-01-01,P003,3
T024,2026-01-01,P007,4
T025,2026-01-01,P008,2
T026,2026-01-01,P012,8
T027,2026-01-01,P010,10
T028,2026-01-01,P011,1
T029,2026-01-01,P005,3
T030,2026-01-01,P002,2
T031,2026-01-01,P006,4
T032,2026-01-01,P004,2
T033,2026-01-01,P014,4
T034,2026-01-01,P015,3
T035,2026-01-01,P003,5
T036,2026-01-01,P009,2
T037,2026-01-01,P013,5
T038,2026-01-01,P007,3
T039,2026-01-01,P012,4
T040,2026-01-01,P001,2
